Province,Municipality,Month,South-facing with vertical (90 degrees) tilt,South-facing with latitude tilt,South-facing with tilt=latitude+15 degrees,South-facing with tilt=latitude-15 degrees,2-axis tracking,Horizontal (0 degree),address,latitude,longitude
Manitoba,Thompson,Annual,3.47,4.24,4.03,4.24,6.04,3.2,"Thompson, Manitoba",55.743347,-97.863464
Manitoba,Treherne,Annual,3.71,4.81,4.58,4.8,6.84,3.64,"Treherne, Manitoba",49.6271787,-98.6979401
Manitoba,Tyndall,Annual,3.55,4.62,4.39,4.63,6.57,3.6,"Tyndall, Manitoba",50.0839826,-96.6609712
Manitoba,Vassar,Annual,3.54,4.65,4.42,4.66,6.63,3.63,"Vassar, Manitoba",49.0969608,-95.8337922
Manitoba,Victoria Beach,Annual,3.54,4.58,4.36,4.59,6.52,3.56,"Victoria Beach, Manitoba",50.7013063,-96.55607612337457
Manitoba,Virden,Annual,3.83,4.95,4.72,4.93,7.07,3.67,"Virden, Manitoba",49.8485092,-100.9322654
Manitoba,Vita,Annual,3.56,4.69,4.46,4.7,6.68,3.66,"Vita, Manitoba",49.133613,-96.5620957
Manitoba,Vogar,Annual,3.66,4.69,4.47,4.69,6.67,3.55,"Vogar, Manitoba",50.9568045,-98.6450057
Manitoba,Wabowden,Annual,3.47,4.29,4.08,4.3,6.13,3.27,"Wabowden, Manitoba",54.916667,-98.633333
Manitoba,Warren,Annual,3.59,4.67,4.44,4.67,6.65,3.6,"Warren, Manitoba",50.1305701,-97.5447613
Manitoba,Waskada,Annual,3.85,5.0,4.77,4.98,7.15,3.73,"Waskada, Manitoba",49.097817,-100.8023781
Manitoba,Waterhen,Annual,3.67,4.66,4.43,4.65,6.64,3.5,"Waterhen, Manitoba",51.8997936,-99.5542668
Manitoba,Waterhen Reserve,Annual,3.65,4.63,4.41,4.63,6.6,3.49,"Waterhen Reserve, Manitoba",,
Manitoba,Wawanesa,Annual,3.79,4.9,4.67,4.88,6.98,3.67,"Wawanesa, Manitoba",49.5954606,-99.6841023
Manitoba,Whitemouth,Annual,3.53,4.61,4.38,4.61,6.56,3.59,"Whitemouth, Manitoba",49.9541656,-95.9766181
Manitoba,Winkler,Annual,3.65,4.78,4.55,4.78,6.81,3.67,"Winkler, Manitoba",49.187089,-97.937622
Manitoba,Winnipeg,Annual,3.56,4.65,4.42,4.65,6.61,3.61,"Winnipeg, Manitoba",49.8955367,-97.1384584
Manitoba,Winnipeg Beach,Annual,3.57,4.62,4.4,4.63,6.58,3.58,"Winnipeg Beach, Manitoba",50.5046705,-96.975287
Manitoba,Winnipegosis,Annual,3.68,4.68,4.46,4.67,6.67,3.51,"Winnipegosis, Manitoba",51.6479408,-99.9272871
Manitoba,Woodlands,Annual,3.61,4.68,4.45,4.68,6.66,3.6,"Woodlands, Manitoba",50.2065712,-97.6577818
Manitoba,Woodridge,Annual,3.53,4.64,4.41,4.65,6.61,3.62,"Woodridge, Manitoba",49.2821589,-96.1484178
Manitoba,York Landing,Annual,3.48,4.23,4.02,4.23,5.99,3.2,"York Landing, Manitoba",56.0871658,-96.0987631
New Brunswick,Acadieville,Annual,3.19,4.23,4.04,4.22,5.79,3.38,"Acadieville, New Brunswick",46.7291233,-65.2658818
New Brunswick,Aldouane,Annual,3.17,4.22,4.03,4.21,5.78,3.38,"Aldouane, New Brunswick",46.6239836,-65.0559032
New Brunswick,Allardville,Annual,3.22,4.23,4.04,4.22,5.79,3.34,"Allardville, New Brunswick",47.4747689,-65.4924217
New Brunswick,Alma,Annual,3.0,4.1,3.9,4.1,5.6,3.39,"Alma, New Brunswick",45.6030519,-64.9438288
New Brunswick,Anderson Road,Annual,3.13,4.19,3.99,4.19,5.76,3.41,"Anderson Road, New Brunswick",46.8589895,-67.4816356
New Brunswick,Anse-Bleue,Annual,3.22,4.22,4.02,4.21,5.77,3.33,"Anse-Bleue, New Brunswick",,
New Brunswick,Apohaqui,Annual,3.08,4.18,3.98,4.18,5.73,3.43,"Apohaqui, New Brunswick",45.7001379,-65.6003568
New Brunswick,Aroostook,Annual,3.13,4.19,3.99,4.2,5.78,3.42,"Aroostook, New Brunswick",46.8068421,-67.7213754
New Brunswick,Arthurette,Annual,3.13,4.19,3.99,4.2,5.77,3.42,"Arthurette, New Brunswick",46.7908583,-67.48857
New Brunswick,Atholville,Annual,3.22,4.21,4.02,4.21,5.78,3.33,"Atholville, New Brunswick",47.9889485,-66.7205611
New Brunswick,Baie Verte,Annual,3.04,4.12,3.92,4.13,5.64,3.4,"Baie Verte, New Brunswick",46.0148079,-64.1029405
New Brunswick,Baker Brook,Annual,3.12,4.17,3.96,4.18,5.76,3.41,"Baker Brook, New Brunswick",47.311300599999996,-68.50229205036577
New Brunswick,Balmoral,Annual,3.23,4.22,4.03,4.22,5.79,3.33,"Balmoral, New Brunswick",47.9726771,-66.4453964
New Brunswick,Barachois,Annual,3.11,4.18,3.98,4.18,5.73,3.41,"Barachois, New Brunswick",46.2281529,-64.4477914
New Brunswick,Barnesville,Annual,3.02,4.12,3.92,4.13,5.64,3.41,"Barnesville, New Brunswick",45.4423114,-65.7314565
New Brunswick,Barryville,Annual,3.23,4.26,4.07,4.25,5.83,3.37,"Barryville, New Brunswick",47.1551877,-65.2473716
New Brunswick,Bas-Caraquet,Annual,3.21,4.2,4.01,4.2,5.76,3.33,"Bas-Caraquet, New Brunswick",47.8006095,-64.8322764
New Brunswick,Bass River,Annual,3.17,4.23,4.03,4.22,5.78,3.39,"Bass River, New Brunswick",47.5120328,-65.5744782
New Brunswick,Bath,Annual,3.1,4.18,3.98,4.19,5.76,3.43,"Bath, New Brunswick",46.5119155,-67.5944492
New Brunswick,Bathurst,Annual,3.25,4.26,4.06,4.25,5.83,3.35,"Bathurst, New Brunswick",47.6208671,-65.6537546
New Brunswick,Bayside,Annual,2.97,4.11,3.91,4.13,5.66,3.47,"Bayside, New Brunswick",46.0590408,-64.0242168
New Brunswick,Beechwood,Annual,3.1,4.18,3.98,4.19,5.75,3.43,"Beechwood, New Brunswick",46.5433619,-67.6590973
New Brunswick,Belledune,Annual,3.29,4.29,4.1,4.28,5.89,3.37,"Belledune, New Brunswick",47.8926616,-65.8237545
New Brunswick,Belleisle Creek,Annual,3.09,4.18,3.99,4.18,5.73,3.43,"Belleisle Creek, New Brunswick",45.6859352,-65.7739326
New Brunswick,Beresford,Annual,3.26,4.27,4.07,4.26,5.85,3.36,"Beresford, New Brunswick",47.7047087,-65.7032868
New Brunswick,Bertrand,Annual,3.22,4.22,4.03,4.21,5.78,3.33,"Bertrand, New Brunswick",47.756348,-65.0674525
New Brunswick,Berwick,Annual,3.1,4.2,4.0,4.2,5.75,3.43,"Berwick, New Brunswick",45.7784594,-65.595989
New Brunswick,Big Cove,Annual,3.17,4.22,4.03,4.21,5.77,3.38,"Big Cove, New Brunswick",45.7679599,-65.9656179
New Brunswick,Blacks Harbour,Annual,2.96,4.1,3.9,4.12,5.64,3.46,"Blacks Harbour, New Brunswick",45.058501,-66.7900104
New Brunswick,Blackville,Annual,3.2,4.25,4.06,4.24,5.82,3.39,"Blackville, New Brunswick",46.7351305,-65.8313847
New Brunswick,Boiestown,Annual,3.14,4.2,4.01,4.19,5.75,3.39,"Boiestown, New Brunswick",46.4541554,-66.4170933
New Brunswick,Bonny River,Annual,2.98,4.12,3.91,4.13,5.66,3.46,"Bonny River, New Brunswick",45.322294,-66.9559658
New Brunswick,Bouctouche,Annual,3.15,4.21,4.01,4.2,5.76,3.39,"Bouctouche, New Brunswick",46.4735119,-64.7236147
New Brunswick,Brantville,Annual,3.21,4.23,4.04,4.22,5.79,3.35,"Brantville, New Brunswick",47.373992,-64.9666
New Brunswick,Bristol,Annual,3.1,4.18,3.98,4.19,5.76,3.43,"Bristol, New Brunswick",46.4706457,-67.5809794
New Brunswick,Browns Flat,Annual,3.03,4.13,3.93,4.14,5.66,3.42,"Browns Flat, New Brunswick",45.4721287,-66.1346419
New Brunswick,Burtts Corner,Annual,3.1,4.19,4.0,4.2,5.76,3.44,"Burtts Corner, New Brunswick",46.0621496,-66.8760226
New Brunswick,Cambridge-Narrows,Annual,3.11,4.21,4.01,4.2,5.77,3.44,"Cambridge-Narrows, New Brunswick",45.8302638,-65.9564621
New Brunswick,Campbellton,Annual,3.23,4.23,4.04,4.23,5.82,3.34,"Campbellton, New Brunswick",48.0046634,-66.6765986
New Brunswick,Canterbury,Annual,3.04,4.15,3.94,4.16,5.71,3.44,"Canterbury, New Brunswick",45.8910712,-67.4687
New Brunswick,Canton,Annual,3.12,4.16,3.96,4.17,5.72,3.38,"Canton, New Brunswick",47.0611466,-67.6079211
New Brunswick,Cape Tormentine,Annual,3.02,4.1,3.9,4.11,5.61,3.4,"Cape Tormentine, New Brunswick",46.1146705,-63.7733524
New Brunswick,Cap-Pele,Annual,3.09,4.16,3.96,4.17,5.7,3.41,"Cap-Pele, New Brunswick",46.2155469,-64.2728793
New Brunswick,Caraquet,Annual,3.21,4.21,4.01,4.2,5.76,3.33,"Caraquet, New Brunswick",47.7909581,-64.9491778
New Brunswick,Carsonville,Annual,3.1,4.18,3.99,4.18,5.73,3.41,"Carsonville, New Brunswick",45.8597025,-65.5210783
New Brunswick,Castalia,Annual,2.92,4.09,3.88,4.11,5.63,3.49,"Castalia, New Brunswick",44.736923,-66.7577213
New Brunswick,Centreville,Annual,3.09,4.18,3.98,4.19,5.76,3.44,"Centreville, New Brunswick",46.4308087,-67.7116323
New Brunswick,Charlo,Annual,3.25,4.25,4.06,4.25,5.84,3.35,"Charlo, New Brunswick",47.9920551,-66.3024494
New Brunswick,Chatham,Annual,3.24,4.28,4.09,4.27,5.86,3.39,"Chatham, New Brunswick",47.008081950000005,-65.49356837155295
New Brunswick,Chipman,Annual,3.16,4.23,4.04,4.23,5.8,3.42,"Chipman, New Brunswick",46.1778309,-65.8774732
New Brunswick,Clair,Annual,3.12,4.17,3.96,4.18,5.77,3.41,"Clair, New Brunswick",47.2526505,-68.6033696
New Brunswick,Cocagne,Annual,3.13,4.2,4.0,4.2,5.75,3.4,"Cocagne, New Brunswick",46.3319353,-64.6139231
New Brunswick,Coles Island,Annual,3.14,4.23,4.03,4.23,5.8,3.44,"Coles Island, New Brunswick",45.921687399999996,-65.796183456031
New Brunswick,Collette,Annual,3.2,4.24,4.05,4.24,5.81,3.38,"Collette, New Brunswick",46.7777293,-65.458315
New Brunswick,Cumberland Bay,Annual,3.14,4.23,4.04,4.23,5.8,3.43,"Cumberland Bay, New Brunswick",46.0362151,-65.8651419
New Brunswick,Dalhousie,Annual,3.24,4.24,4.05,4.23,5.81,3.34,"Dalhousie, New Brunswick",48.0634448,-66.369555
New Brunswick,Daulnay,Annual,3.22,4.23,4.04,4.23,5.79,3.34,"Daulnay, New Brunswick",47.4164979,-65.4594695
New Brunswick,Debec,Annual,3.06,4.16,3.96,4.17,5.74,3.45,"Debec, New Brunswick",46.0744404,-67.6877721
New Brunswick,Dieppe,Annual,3.1,4.18,3.98,4.18,5.72,3.4,"Dieppe, New Brunswick",46.0966797,-64.7357347
New Brunswick,Doaktown,Annual,3.16,4.22,4.03,4.21,5.78,3.39,"Doaktown, New Brunswick",46.5574196,-66.1311055
New Brunswick,Dorchester,Annual,3.05,4.13,3.93,4.13,5.64,3.39,"Dorchester, New Brunswick",45.8992863,-64.5170033
New Brunswick,Douglas,Annual,3.09,4.19,3.99,4.19,5.75,3.44,"Douglas, New Brunswick",45.9997991,-66.7734623
New Brunswick,Drummond,Annual,3.12,4.16,3.97,4.17,5.73,3.39,"Drummond, New Brunswick",47.0353811,-67.6823082
New Brunswick,Edmundston,Annual,3.11,4.15,3.95,4.16,5.73,3.39,"Edmundston, New Brunswick",47.3637203,-68.3288825
New Brunswick,Eel Ground,Annual,3.23,4.27,4.08,4.26,5.85,3.39,"Eel Ground, New Brunswick",46.9670796,-65.6191992
New Brunswick,Eel River Crossing,Annual,3.25,4.24,4.05,4.24,5.83,3.34,"Eel River Crossing, New Brunswick",48.0157915,-66.4218163
New Brunswick,Elgin,Annual,3.05,4.13,3.93,4.13,5.64,3.39,"Elgin, New Brunswick",45.7970831,-65.1089815
New Brunswick,Evangeline,Annual,3.21,4.21,4.02,4.21,5.77,3.34,"Evangeline, New Brunswick",46.230002,-64.6998926
New Brunswick,Fairisle,Annual,3.22,4.24,4.05,4.23,5.8,3.36,"Fairisle, New Brunswick",47.2793764,-65.124429
New Brunswick,Florenceville,Annual,3.09,4.17,3.97,4.18,5.74,3.43,"Florenceville, New Brunswick",46.4531007,-67.6068386
New Brunswick,Fosterville,Annual,3.04,4.15,3.95,4.17,5.73,3.46,"Fosterville, New Brunswick",45.8077004,-67.76956529386837
New Brunswick,Four Falls,Annual,3.13,4.19,3.99,4.2,5.77,3.42,"Four Falls, New Brunswick",46.8247098,-67.7349748
New Brunswick,Fredericton,Annual,3.1,4.19,3.99,4.19,5.76,3.44,"Fredericton, New Brunswick",45.963233,-66.6432356
New Brunswick,Fredericton Junction,Annual,3.06,4.17,3.97,4.17,5.73,3.45,"Fredericton Junction, New Brunswick",45.6608225,-66.6035176
New Brunswick,Gagetown,Annual,3.09,4.18,3.99,4.18,5.73,3.43,"Gagetown, New Brunswick",45.7744432,-66.146555
New Brunswick,Geary,Annual,3.08,4.18,3.98,4.18,5.73,3.44,"Geary, New Brunswick",45.7463466,-66.485056
New Brunswick,Glassville,Annual,3.08,4.15,3.95,4.15,5.7,3.4,"Glassville, New Brunswick",46.4815101,-67.4232638
New Brunswick,Grand Bay-Westfield,Annual,3.0,4.12,3.92,4.13,5.65,3.43,"Grand Bay-Westfield, New Brunswick",45.340726950000004,-66.24555241086904
New Brunswick,Grand Falls,Annual,3.12,4.18,3.98,4.18,5.75,3.4,"Grand Falls, New Brunswick",47.0463119,-67.7393601
New Brunswick,Grand Harbour,Annual,2.91,4.08,3.87,4.1,5.62,3.49,"Grand Harbour, New Brunswick",44.6877266,-66.7581562
New Brunswick,Grande-Anse,Annual,3.23,4.23,4.03,4.22,5.79,3.33,"Grande-Anse, New Brunswick",47.8132117,-65.1783457
New Brunswick,Grande-Digue,Annual,3.12,4.19,3.99,4.19,5.74,3.4,"Grande-Digue, New Brunswick",46.2964336,-64.5617015
New Brunswick,Gray Rapids,Annual,3.21,4.25,4.06,4.24,5.82,3.39,"Gray Rapids, New Brunswick",46.7709473,-65.7594791
New Brunswick,Hammondvale,Annual,3.02,4.12,3.92,4.12,5.63,3.4,"Hammondvale, New Brunswick",45.5757422,-65.4952312
New Brunswick,Hampstead,Annual,3.05,4.15,3.95,4.15,5.69,3.42,"Hampstead, New Brunswick",45.6211822,-66.0822171
New Brunswick,Hampton,Annual,3.04,4.15,3.95,4.15,5.68,3.42,"Hampton, New Brunswick",45.5270543,-65.84482413225496
New Brunswick,Hanwell,Annual,3.08,4.18,3.98,4.18,5.74,3.44,"Hanwell, New Brunswick",45.9041525,-66.7524339
New Brunswick,Harcourt,Annual,3.17,4.23,4.04,4.22,5.79,3.39,"Harcourt, New Brunswick",46.4698456,-65.2455885
New Brunswick,Hardwood Ridge,Annual,3.13,4.21,4.01,4.2,5.76,3.41,"Hardwood Ridge, New Brunswick",46.9362073,-66.4434195
New Brunswick,Hartland,Annual,3.1,4.19,3.99,4.2,5.77,3.44,"Hartland, New Brunswick",46.2999976,-67.5257163
New Brunswick,Harvey,Annual,3.06,4.17,3.97,4.18,5.74,3.46,"Harvey, New Brunswick",45.7300127,-67.0070398
New Brunswick,Haute-Aboujagane,Annual,3.09,4.17,3.97,4.17,5.7,3.4,"Haute-Aboujagane, New Brunswick",46.1483398,-64.3989188
New Brunswick,Havelock,Annual,3.13,4.21,4.02,4.21,5.77,3.42,"Havelock, New Brunswick",45.9944724,-65.3157869
New Brunswick,Hillsborough,Annual,3.06,4.14,3.94,4.14,5.66,3.39,"Hillsborough, New Brunswick",45.9228677,-64.6455554
New Brunswick,Holtville,Annual,3.13,4.18,3.99,4.17,5.72,3.38,"Holtville, New Brunswick",46.5192589,-66.4741123
New Brunswick,Hopewell Cape,Annual,3.03,4.11,3.91,4.11,5.62,3.39,"Hopewell Cape, New Brunswick",45.8477335,-64.5764387
New Brunswick,Hoyt,Annual,3.05,4.16,3.96,4.16,5.71,3.44,"Hoyt, New Brunswick",45.05487435,-66.91186635806245
New Brunswick,Inkerman,Annual,3.21,4.21,4.02,4.21,5.77,3.34,"Inkerman, New Brunswick",47.6672788,-64.8253675
New Brunswick,Jacksonville,Annual,3.08,4.17,3.97,4.18,5.75,3.44,"Jacksonville, New Brunswick",46.1951483,-67.60616978878359
New Brunswick,Jacquet River,Annual,3.27,4.27,4.08,4.27,5.86,3.36,"Jacquet River, New Brunswick",47.9190824,-65.9814426
New Brunswick,Jemseg,Annual,3.1,4.2,4.0,4.2,5.76,3.44,"Jemseg, New Brunswick",45.8313791,-66.1117049
New Brunswick,Johnville,Annual,3.09,4.16,3.96,4.16,5.72,3.41,"Johnville, New Brunswick",46.5712482,-67.5435134
New Brunswick,Juniper,Annual,3.09,4.15,3.95,4.15,5.69,3.39,"Juniper, New Brunswick",46.5509804,-67.2211291
New Brunswick,Kars,Annual,3.05,4.15,3.96,4.15,5.69,3.42,"Kars, New Brunswick",45.599847,-66.0085622
New Brunswick,Kedgwick,Annual,3.17,4.19,3.99,4.19,5.76,3.36,"Kedgwick, New Brunswick",47.6463746,-67.3468372
New Brunswick,Keswick Ridge,Annual,3.08,4.17,3.97,4.17,5.72,3.43,"Keswick Ridge, New Brunswick",45.9995877,-66.8994017
New Brunswick,Kilburn,Annual,3.1,4.17,3.97,4.18,5.74,3.42,"Kilburn, New Brunswick",46.6372123,-67.7040014
New Brunswick,Kingston,Annual,3.04,4.14,3.94,4.14,5.67,3.42,"Kingston, New Brunswick",45.5027193,-65.9750898
New Brunswick,Knoxford,Annual,3.09,4.16,3.96,4.17,5.73,3.42,"Knoxford, New Brunswick",46.5130962,-67.7456324
New Brunswick,Lac Baker,Annual,3.09,4.13,3.93,4.15,5.71,3.39,"Lac Baker, New Brunswick",47.336313849999996,-68.65617236151832
New Brunswick,Lakeville,Annual,3.09,4.18,3.97,4.18,5.75,3.44,"Lakeville, New Brunswick",46.337243,-67.6858362
New Brunswick,Lam̬que,Annual,3.19,4.19,3.99,4.19,5.74,3.33,"Lam̬que, New Brunswick",,
New Brunswick,Lavillette,Annual,3.22,4.24,4.05,4.24,5.81,3.36,"Lavillette, New Brunswick",47.2614029,-65.3280208
New Brunswick,Lawrence Station,Annual,3.0,4.13,3.93,4.14,5.69,3.46,"Lawrence Station, New Brunswick",45.4237321,-67.1827031
New Brunswick,Le Goulet,Annual,3.2,4.2,4.0,4.2,5.75,3.33,"Le Goulet, New Brunswick",47.7053428,-64.7155661
New Brunswick,Lepreau,Annual,2.99,4.12,3.92,4.13,5.66,3.46,"Lepreau, New Brunswick",45.1678693,-66.4679358
New Brunswick,Lords Cove,Annual,2.95,4.1,3.89,4.12,5.64,3.47,"Lords Cove, New Brunswick",45.0068111,-66.9509141
New Brunswick,Lorne,Annual,3.24,4.24,4.05,4.23,5.81,3.34,"Lorne, New Brunswick",47.8736107,-66.1267386
New Brunswick,Lower Brighton,Annual,3.08,4.17,3.97,4.17,5.74,3.43,"Lower Brighton, New Brunswick",46.2740872,-67.4972882
New Brunswick,Lower Windsor,Annual,3.08,4.16,3.96,4.17,5.72,3.42,"Lower Windsor, New Brunswick",46.357779,-67.4211171
New Brunswick,Maces Bay,Annual,2.98,4.12,3.92,4.13,5.66,3.46,"Maces Bay, New Brunswick",45.1147955,-66.4900644
New Brunswick,Madran,Annual,3.27,4.27,4.08,4.27,5.86,3.36,"Madran, New Brunswick",47.8169527,-65.772201
New Brunswick,Maisonnette,Annual,3.22,4.21,4.02,4.21,5.77,3.33,"Maisonnette, New Brunswick",47.8218569,-64.9953547
New Brunswick,Maliseet,Annual,3.11,4.18,3.98,4.18,5.75,3.41,"Maliseet, New Brunswick",47.2867049,-66.3983376
New Brunswick,Manners Sutton,Annual,3.04,4.16,3.95,4.16,5.71,3.45,"Manners Sutton, New Brunswick",45.65930735,-67.03981732753114
New Brunswick,Maugerville,Annual,3.09,4.19,3.99,4.19,5.75,3.44,"Maugerville, New Brunswick",45.8772738,-66.477305
New Brunswick,McAdam,Annual,3.02,4.14,3.94,4.15,5.7,3.46,"McAdam, New Brunswick",45.5892718,-67.326212
New Brunswick,McKendrick,Annual,3.2,4.18,3.99,4.18,5.73,3.31,"McKendrick, New Brunswick",47.9226572,-66.6719331
New Brunswick,McLeods,Annual,3.22,4.21,4.02,4.21,5.77,3.32,"McLeods, New Brunswick",48.0184764,-66.5731984
New Brunswick,Medford,Annual,3.13,4.19,3.99,4.19,5.77,3.41,"Medford, New Brunswick",,
New Brunswick,Meductic,Annual,3.06,4.16,3.96,4.17,5.73,3.45,"Meductic, New Brunswick",45.9956435,-67.4859476
New Brunswick,Memramcook,Annual,3.07,4.15,3.95,4.15,5.67,3.4,"Memramcook, New Brunswick",45.9763743,-64.5669642
New Brunswick,Mill Cove,Annual,3.12,4.21,4.02,4.21,5.77,3.44,"Mill Cove, New Brunswick",45.8814742,-66.0173818
New Brunswick,Millerton,Annual,3.22,4.27,4.07,4.26,5.84,3.39,"Millerton, New Brunswick",46.9029381,-65.6311085
New Brunswick,Millville,Annual,3.07,4.16,3.96,4.17,5.72,3.42,"Millville, New Brunswick",46.1310362,-67.1959665
New Brunswick,Minto,Annual,3.14,4.22,4.02,4.22,5.78,3.43,"Minto, New Brunswick",46.0776889,-66.0784986
New Brunswick,Miramichi,Annual,3.24,4.27,4.08,4.27,5.85,3.39,"Miramichi, New Brunswick",47.030058,-65.4707468
New Brunswick,Miscou Centre,Annual,3.18,4.17,3.98,4.17,5.71,3.32,"Miscou Centre, New Brunswick",47.942061,-64.5685177
New Brunswick,Moncton,Annual,3.1,4.18,3.98,4.18,5.72,3.4,"Moncton, New Brunswick",46.0985679,-64.8004265
New Brunswick,Moores Mills,Annual,2.98,4.11,3.91,4.13,5.66,3.46,"Moores Mills, New Brunswick",45.2923463,-67.2757793
New Brunswick,Moulin-Morneault,Annual,3.11,4.15,3.94,4.16,5.72,3.38,"Moulin-Morneault, New Brunswick",47.4575841,-68.357144
New Brunswick,Nackawic,Annual,3.07,4.18,3.97,4.18,5.74,3.45,"Nackawic, New Brunswick",45.9932592,-67.2416981959282
New Brunswick,Napadogan,Annual,3.08,4.14,3.94,4.14,5.67,3.38,"Napadogan, New Brunswick",46.4121537,-66.9339958
New Brunswick,Nash Creek,Annual,3.27,4.27,4.08,4.27,5.86,3.36,"Nash Creek, New Brunswick",47.9181961,-66.0864229
New Brunswick,Nashwaak Bridge,Annual,3.12,4.19,4.0,4.19,5.75,3.42,"Nashwaak Bridge, New Brunswick",46.2396795,-66.6131474
New Brunswick,Nauwigewauk,Annual,3.03,4.13,3.93,4.13,5.66,3.42,"Nauwigewauk, New Brunswick",45.4723929,-65.8945381
New Brunswick,Neguac,Annual,3.22,4.24,4.05,4.23,5.81,3.36,"Neguac, New Brunswick",47.2469012,-65.0767222
New Brunswick,New Bandon,Annual,3.14,4.2,4.01,4.19,5.75,3.39,"New Bandon, New Brunswick",47.7567351,-65.3156044
New Brunswick,New Maryland,Annual,3.07,4.17,3.97,4.17,5.72,3.43,"New Maryland, New Brunswick",45.8934401,-66.6831403
New Brunswick,Nigadoo,Annual,3.26,4.27,4.08,4.26,5.85,3.36,"Nigadoo, New Brunswick",47.7392737,-65.7121059
New Brunswick,Noonan,Annual,3.09,4.17,3.98,4.17,5.72,3.42,"Noonan, New Brunswick",45.9636955,-66.5281401
New Brunswick,North Head,Annual,2.92,4.09,3.88,4.11,5.63,3.48,"North Head, New Brunswick",44.7636787,-66.7435868
New Brunswick,Northampton,Annual,3.08,4.18,3.98,4.19,5.76,3.46,"Northampton, New Brunswick",46.1078428,-67.48600923392857
New Brunswick,Norton,Annual,3.07,4.17,3.97,4.17,5.71,3.42,"Norton, New Brunswick",45.6363366,-65.6952297
New Brunswick,Oak Bay,Annual,2.98,4.12,3.92,4.14,5.68,3.47,"Oak Bay, New Brunswick",45.2345003,-67.1947193
New Brunswick,Oakland,Annual,3.1,4.18,3.98,4.19,5.76,3.43,"Oakland, New Brunswick",46.405275,-67.5616855
New Brunswick,Odell,Annual,3.14,4.2,4.0,4.2,5.78,3.41,"Odell, New Brunswick",46.8160192,-67.4305572
New Brunswick,Oromocto,Annual,3.09,4.18,3.99,4.18,5.74,3.44,"Oromocto, New Brunswick",45.8474496,-66.471212
New Brunswick,Oxbow,Annual,3.14,4.19,3.99,4.19,5.75,3.39,"Oxbow, New Brunswick",46.9991411,-67.316965
New Brunswick,Paquetville,Annual,3.22,4.22,4.03,4.21,5.77,3.33,"Paquetville, New Brunswick",47.666832,-65.1077929
New Brunswick,Penniac,Annual,3.1,4.19,4.0,4.19,5.75,3.43,"Penniac, New Brunswick",46.0346979,-66.5714368
New Brunswick,Penobsquis,Annual,3.09,4.18,3.98,4.18,5.73,3.42,"Penobsquis, New Brunswick",45.7762632,-65.3809999
New Brunswick,Perth-Andover,Annual,3.12,4.19,3.99,4.2,5.78,3.43,"Perth-Andover, New Brunswick",46.7384475,-67.7057484
New Brunswick,Petit Rocher,Annual,3.27,4.27,4.08,4.27,5.86,3.36,"Petit Rocher, New Brunswick",47.7815088,-65.7175991
New Brunswick,Petitcodiac,Annual,3.11,4.19,4.0,4.19,5.74,3.42,"Petitcodiac, New Brunswick",45.9324685,-65.1744404
New Brunswick,Petite-Aldouane,Annual,3.17,4.21,4.02,4.21,5.77,3.37,"Petite-Aldouane, New Brunswick",,
New Brunswick,Plaster Rock,Annual,3.14,4.2,4.0,4.2,5.78,3.41,"Plaster Rock, New Brunswick",46.9088818,-67.3954925
New Brunswick,Point de Bute,Annual,3.03,4.12,3.92,4.12,5.63,3.4,"Point de Bute, New Brunswick",45.8994993,-64.2416887
New Brunswick,Pointe-Sapin,Annual,3.18,4.22,4.02,4.21,5.77,3.37,"Pointe-Sapin, New Brunswick",46.9620949,-64.8347819
New Brunswick,Pointe-Verte,Annual,3.28,4.28,4.09,4.28,5.88,3.36,"Pointe-Verte, New Brunswick",47.8543586,-65.763776
New Brunswick,Pokemouche,Annual,3.21,4.22,4.02,4.21,5.77,3.34,"Pokemouche, New Brunswick",47.6684796,-64.8769693
New Brunswick,Pont-Landry,Annual,3.21,4.22,4.03,4.22,5.78,3.34,"Pont-Landry, New Brunswick",47.5755533,-64.9548084
New Brunswick,Port Elgin,Annual,3.04,4.13,3.92,4.13,5.64,3.4,"Port Elgin, New Brunswick",46.0451741,-64.0898064
New Brunswick,Quispamsis,Annual,3.02,4.12,3.93,4.13,5.65,3.42,"Quispamsis, New Brunswick",45.4465169,-65.95113024
New Brunswick,Renous,Annual,3.21,4.25,4.06,4.24,5.82,3.39,"Renous, New Brunswick",46.8099052,-65.798769
New Brunswick,Rexton,Annual,3.16,4.21,4.02,4.21,5.77,3.38,"Rexton, New Brunswick",46.641481,-64.8645487
New Brunswick,Riceville,Annual,3.09,4.13,3.93,4.14,5.7,3.38,"Riceville, New Brunswick",47.347015,-68.4603489
New Brunswick,Richibucto,Annual,3.17,4.21,4.02,4.21,5.77,3.38,"Richibucto, New Brunswick",46.6742757,-64.867452
New Brunswick,Richibucto-Village,Annual,3.16,4.21,4.01,4.2,5.76,3.38,"Richibucto-Village, New Brunswick",46.6549569,-64.7540244
New Brunswick,Riley Brook,Annual,3.14,4.18,3.98,4.18,5.73,3.37,"Riley Brook, New Brunswick",47.1608616,-67.1252078
New Brunswick,Riverside-Albert,Annual,3.03,4.11,3.91,4.11,5.62,3.39,"Riverside-Albert, New Brunswick",45.7481134,-64.7419269
